,group,name,dice,p_value
0,XS268_8,MedFront,0.08535215150787849,0.16383616383616384
1,XS268_8,FrontPar,0.07525735432140157,0.23776223776223776
2,XS268_8,Default,0.07217012439771556,0.1918081918081918
3,XS268_8,Motor,0.01034521377894212,0.9110889110889111
4,XS268_8,VisualA,0.0011826518742216936,0.9370629370629371
5,XS268_8,VisualB,8.093000220551161e-05,0.9430569430569431
6,XS268_8,VisAssoc,0.0011712065339202415,0.9690309690309691
7,XS268_8,SalSubcor,0.15189710363537995,0.001998001998001998
8,TY7,Visual,0.0013216808226331003,0.957042957042957
9,TY7,Somatomotor,0.00624341882347797,0.8811188811188811
10,TY7,DorsAttn,0.0036089338164065126,0.957042957042957
11,TY7,Sal/VenAttn,0.07305784969420288,0.2077922077922078
12,TY7,Limbic,0.03312529225729221,0.37362637362637363
13,TY7,Control,0.12238351543453833,0.04195804195804196
14,TY7,Default,0.11141431536659913,0.030969030969030968
15,TY17,VisualA,0.0005974341458634495,0.906093906093906
16,TY17,VisualB,0.0008190313240912553,0.8951048951048951
17,TY17,SomatomotorA,0.00345123115538583,0.8221778221778222
18,TY17,SomatomotorB,0.008139769747668477,0.6273726273726273
19,TY17,DorsAttnA,0.001352182450573587,0.9600399600399601
20,TY17,DorsAttnB,0.0026617304117082788,0.906093906093906
21,TY17,Sal/VenAttnA,0.023214959270838314,0.5754245754245755
22,TY17,Sal/VenAttnB,0.2499071863010485,0.001998001998001998
23,TY17,LimbicA,0.008140845040797012,0.4945054945054945
24,TY17,LimbicB,0.051672231141009876,0.1928071928071928
25,TY17,ControlC,0.012598698232521487,0.36363636363636365
26,TY17,ControlA,0.01307560915758154,0.7472527472527473
27,TY17,ControlB,0.08307586025839192,0.13286713286713286
28,TY17,TempPar,0.0011440151805505382,0.9170829170829171
29,TY17,DefaultC,0.0036194650228071595,0.7252747252747253
30,TY17,DefaultA,0.16246301441624958,0.011988011988011988
31,TY17,DefaultB,0.039910443632705704,0.4255744255744256
32,EG17,Default,0.09581886347305317,0.0999000999000999
33,EG17,LatVis,0.0008710720852800265,0.957042957042957
34,EG17,FrontPar,0.050341533404650925,0.3646353646353646
35,EG17,MedVis,0.0003838034968872851,0.8401598401598401
36,EG17,DorsAttn,0.0062010532333265705,0.8751248751248751
37,EG17,Premotor,0.0006833992796758315,0.9530469530469531
38,EG17,Language,0.013391726855284189,0.6533466533466533
39,EG17,Salience,0.37450680216047866,0.000999000999000999
40,EG17,CingOperc,0.06212393686403924,0.28771228771228774
41,EG17,HandSM,0.0013739872093230239,0.936063936063936
42,EG17,FaceSM,0.013597849447749388,0.34865134865134867
43,EG17,Auditory,0.0004481913301118038,0.954045954045954
44,EG17,AntMTL,0.0106729011244273,0.4085914085914086
45,EG17,PostMTL,0.023724521603056145,0.13086913086913088
46,EG17,ParMemory,0.013306720002985481,0.30569430569430567
47,EG17,Context,0.004330943900990126,0.7522477522477522
48,EG17,FootSM,0.004348526392974087,0.6273726273726273
