subject,fsaverage_LR32k,rest-1,rest-2
001,yes,yes,yes
002,yes,yes,yes
003,yes,yes,yes
004,yes,yes,yes
005,yes,yes,yes
007,yes,yes,yes
008,yes,yes,yes
009,yes,yes,yes
010,yes,yes,yes
011,yes,yes,yes
012,yes,yes,yes
013,yes,yes,yes
014,yes,yes,yes
018,yes,yes,yes
019,yes,no,yes
020,yes,yes,yes
021,yes,yes,yes
022,yes,yes,yes
023,yes,yes,yes
024,yes,yes,yes
026,yes,yes,yes
027,yes,yes,yes
029,yes,yes,yes
030,yes,yes,yes
032,yes,yes,yes
033,yes,yes,yes
034,yes,yes,yes
035,yes,yes,yes
037,yes,yes,yes
039,yes,yes,yes
040,yes,no,yes
042,yes,yes,yes
043,yes,yes,yes
044,yes,yes,yes
048,yes,yes,yes
049,yes,yes,yes
050,yes,yes,yes
061,yes,yes,yes
064,yes,yes,no
065,yes,yes,yes
066,yes,yes,yes
067,yes,yes,yes
070,yes,yes,yes
074,yes,yes,yes
078,yes,yes,yes
083,yes,yes,yes
084,yes,yes,yes
085,yes,yes,yes
086,yes,yes,yes
087,yes,yes,yes
088,yes,yes,yes
092,yes,yes,yes
095,yes,yes,yes
097,yes,yes,yes
098,yes,no,no
100,yes,yes,yes
14006,yes,yes,yes
14008,yes,yes,no
14011,yes,yes,yes
14013,yes,no,yes
14017,yes,yes,yes
14027,yes,yes,yes
14031,yes,yes,yes
14041,yes,yes,yes
14054,yes,yes,yes
14057,yes,yes,yes
14064,yes,yes,yes
14076,yes,yes,yes
14079,yes,yes,yes
14080,yes,yes,yes
14083,yes,yes,yes
14087,yes,yes,yes
14094,yes,yes,yes
14098,yes,yes,yes
14110,yes,yes,yes
14112,yes,yes,yes
14115,yes,yes,yes
14118,yes,yes,yes
14120,yes,yes,yes
14129,yes,yes,yes
14132,yes,yes,yes
14136,yes,yes,yes
14137,yes,yes,yes
14145,yes,yes,yes
14148,yes,yes,yes
14164,yes,yes,yes
14168,yes,yes,yes
14171,yes,yes,yes
14172,yes,no,yes
14180,yes,yes,yes
14181,yes,yes,yes
14185,yes,yes,yes
14187,yes,yes,yes
14205,yes,yes,yes
14206,yes,yes,yes
14210,yes,yes,no
14211,yes,yes,yes
14213,yes,yes,yes
14226,yes,yes,yes
14236,yes,yes,yes
14241,yes,yes,yes
14245,yes,yes,yes
14249,yes,yes,yes
14251,yes,yes,yes
14255,yes,yes,yes
14284,yes,yes,yes
14285,yes,yes,yes
14294,yes,yes,yes
14295,yes,yes,yes
14303,yes,yes,yes
14312,yes,yes,yes
14316,yes,yes,yes
14319,yes,yes,yes
14328,yes,yes,yes
14333,yes,yes,yes
27999,yes,yes,yes
28001,yes,yes,yes
28003,yes,yes,yes
28004,yes,yes,yes
28034,yes,yes,yes
28043,yes,yes,yes
28096,yes,yes,yes
28129,yes,yes,yes
28132,yes,yes,yes
28146,yes,yes,yes
28167,yes,yes,yes
28176,yes,yes,yes
28177,yes,yes,yes
28178,yes,yes,yes
28265,yes,yes,yes
28275,yes,yes,yes
28279,yes,yes,yes
28280,yes,yes,yes
28281,yes,yes,yes
28282,yes,yes,yes
28284,yes,yes,yes
28289,yes,yes,yes
28291,yes,yes,yes
28292,yes,yes,yes
28297,yes,yes,yes
28299,yes,yes,yes
28307,yes,yes,yes
28308,yes,yes,yes
28312,yes,yes,yes
28315,yes,yes,yes
28318,yes,yes,yes
28320,yes,yes,yes
28323,yes,yes,yes
28326,yes,yes,no
28330,yes,yes,yes
28331,yes,yes,yes
28332,yes,yes,yes
28334,yes,yes,yes
28335,yes,yes,yes
28339,yes,yes,yes
28346,yes,yes,yes
28348,yes,yes,yes
28349,yes,yes,yes
28354,yes,yes,yes
28356,yes,yes,yes
28360,yes,yes,yes
28367,yes,yes,no
28368,yes,yes,yes
28371,yes,yes,yes
28376,yes,yes,yes
28391,yes,yes,yes
28397,yes,yes,yes
28402,yes,yes,yes
28409,yes,yes,yes
28410,yes,yes,yes
28412,yes,yes,yes
28413,yes,yes,no
28417,yes,yes,yes
28419,yes,yes,yes
