Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
10	:	1763276399.600	   691.796	0	113	0	0	fmri_process_subject 011
1	:	1763276399.580	   697.222	0	113	0	0	fmri_process_subject 001
3	:	1763276399.583	   702.404	0	113	0	0	fmri_process_subject 003
12	:	1763276399.605	   703.973	0	113	0	0	fmri_process_subject 013
6	:	1763276399.590	   710.726	0	113	0	0	fmri_process_subject 007
5	:	1763276399.587	   713.425	0	113	0	0	fmri_process_subject 005
9	:	1763276399.597	   714.385	0	113	0	0	fmri_process_subject 010
13	:	1763276399.608	   717.871	0	113	0	0	fmri_process_subject 014
11	:	1763276399.603	   719.542	0	113	0	0	fmri_process_subject 012
2	:	1763276399.581	   722.315	0	113	0	0	fmri_process_subject 002
14	:	1763276399.610	   734.531	0	113	0	0	fmri_process_subject 018
15	:	1763276399.614	   746.674	0	113	0	0	fmri_process_subject 019
4	:	1763276399.585	   748.621	0	113	0	0	fmri_process_subject 004
7	:	1763276399.592	   782.561	0	113	0	0	fmri_process_subject 008
8	:	1763276399.595	   815.338	0	113	0	0	fmri_process_subject 009
16	:	1763277091.415	   693.230	0	113	0	0	fmri_process_subject 020
19	:	1763277103.582	   681.377	0	113	0	0	fmri_process_subject 023
20	:	1763277110.320	   677.351	0	113	0	0	fmri_process_subject 024
25	:	1763277121.909	   692.045	0	113	0	0	fmri_process_subject 032
26	:	1763277134.145	   694.588	0	113	0	0	fmri_process_subject 033
23	:	1763277117.483	   725.315	0	113	0	0	fmri_process_subject 029
24	:	1763277119.149	   727.875	0	113	0	0	fmri_process_subject 030
27	:	1763277146.292	   707.549	0	113	0	0	fmri_process_subject 034
18	:	1763277101.992	   775.438	0	113	0	0	fmri_process_subject 022
22	:	1763277113.985	   770.463	0	113	0	0	fmri_process_subject 027
29	:	1763277182.156	   703.890	0	113	0	0	fmri_process_subject 037
21	:	1763277113.015	   773.633	0	113	0	0	fmri_process_subject 026
28	:	1763277148.209	   754.961	0	113	0	0	fmri_process_subject 035
17	:	1763277096.806	   811.280	0	113	0	0	fmri_process_subject 021
30	:	1763277214.938	   703.144	0	113	0	0	fmri_process_subject 039
32	:	1763277784.963	   706.065	0	113	0	0	fmri_process_subject 042
31	:	1763277784.707	   732.246	0	113	0	0	fmri_process_subject 040
35	:	1763277828.738	   692.823	0	113	0	0	fmri_process_subject 048
34	:	1763277813.975	   711.008	0	113	0	0	fmri_process_subject 044
33	:	1763277787.676	   752.444	0	113	0	0	fmri_process_subject 043
36	:	1763277842.803	   698.411	0	113	0	0	fmri_process_subject 049
41	:	1763277886.049	   697.230	0	113	0	0	fmri_process_subject 067
44	:	1763277908.090	   691.311	0	113	0	0	fmri_process_subject 078
37	:	1763277847.027	   753.252	0	113	0	0	fmri_process_subject 050
42	:	1763277886.653	   722.889	0	113	0	0	fmri_process_subject 070
40	:	1763277884.455	   741.032	0	113	0	0	fmri_process_subject 066
43	:	1763277903.174	   728.098	0	113	0	0	fmri_process_subject 074
39	:	1763277877.436	   759.520	0	113	0	0	fmri_process_subject 065
45	:	1763277918.086	   752.788	0	113	0	0	fmri_process_subject 083
38	:	1763277853.847	   844.987	0	113	0	0	fmri_process_subject 061
47	:	1763278516.977	   711.375	0	113	0	0	fmri_process_subject 085
46	:	1763278491.069	   751.219	0	113	0	0	fmri_process_subject 084
50	:	1763278540.124	   706.569	0	113	0	0	fmri_process_subject 088
51	:	1763278541.219	   706.965	0	113	0	0	fmri_process_subject 092
48	:	1763278521.568	   731.458	0	113	0	0	fmri_process_subject 086
49	:	1763278524.993	   744.398	0	113	0	0	fmri_process_subject 087
53	:	1763278599.405	   709.069	0	113	0	0	fmri_process_subject 097
52	:	1763278583.284	   728.279	0	113	0	0	fmri_process_subject 095
54	:	1763278600.283	   711.415	0	113	0	0	fmri_process_subject 100
