Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
12	:	1763288614.878	   695.043	0	117	0	0	fmri_process_subject 28176
3	:	1763288614.858	   714.754	0	117	0	0	fmri_process_subject 28003
5	:	1763288614.862	   719.414	0	117	0	0	fmri_process_subject 28034
2	:	1763288614.855	   721.625	0	117	0	0	fmri_process_subject 28001
13	:	1763288614.881	   735.391	0	117	0	0	fmri_process_subject 28177
6	:	1763288614.864	   741.039	0	117	0	0	fmri_process_subject 28043
7	:	1763288614.866	   762.825	0	117	0	0	fmri_process_subject 28096
10	:	1763288614.874	   771.054	0	117	0	0	fmri_process_subject 28146
1	:	1763288614.853	   773.271	0	117	0	0	fmri_process_subject 27999
15	:	1763288614.885	   776.986	0	117	0	0	fmri_process_subject 28265
4	:	1763288614.860	   803.767	0	117	0	0	fmri_process_subject 28004
9	:	1763288614.872	   829.368	0	117	0	0	fmri_process_subject 28132
8	:	1763288614.869	   843.838	0	117	0	0	fmri_process_subject 28129
14	:	1763288614.883	   859.371	0	117	0	0	fmri_process_subject 28178
11	:	1763288614.876	   997.548	0	117	0	0	fmri_process_subject 28167
20	:	1763289350.275	   697.056	0	117	0	0	fmri_process_subject 28282
17	:	1763289329.616	   738.328	0	117	0	0	fmri_process_subject 28279
21	:	1763289355.906	   728.608	0	117	0	0	fmri_process_subject 28284
25	:	1763289391.890	   705.604	0	117	0	0	fmri_process_subject 28297
24	:	1763289388.128	   717.914	0	117	0	0	fmri_process_subject 28292
19	:	1763289336.486	   769.782	0	117	0	0	fmri_process_subject 28281
22	:	1763289377.721	   744.365	0	117	0	0	fmri_process_subject 28289
23	:	1763289385.932	   769.545	0	117	0	0	fmri_process_subject 28291
16	:	1763289309.959	   850.196	0	117	0	0	fmri_process_subject 28275
27	:	1763289444.270	   748.098	0	117	0	0	fmri_process_subject 28307
28	:	1763289458.723	   791.335	0	117	0	0	fmri_process_subject 28308
26	:	1763289418.649	   835.098	0	117	0	0	fmri_process_subject 28299
29	:	1763289474.268	   802.985	0	117	0	0	fmri_process_subject 28312
18	:	1763289334.281	   979.101	0	117	0	0	fmri_process_subject 28280
30	:	1763289612.427	   753.572	0	117	0	0	fmri_process_subject 28315
31	:	1763290047.369	   758.284	0	117	0	0	fmri_process_subject 28318
35	:	1763290106.064	   714.395	0	117	0	0	fmri_process_subject 28331
33	:	1763290084.529	   739.316	0	117	0	0	fmri_process_subject 28323
32	:	1763290067.995	   757.309	0	117	0	0	fmri_process_subject 28320
36	:	1763290106.272	   723.901	0	117	0	0	fmri_process_subject 28332
39	:	1763290160.186	   723.288	0	117	0	0	fmri_process_subject 28339
37	:	1763290122.091	   781.648	0	117	0	0	fmri_process_subject 28334
34	:	1763290097.510	   826.720	0	117	0	0	fmri_process_subject 28330
38	:	1763290155.498	   784.861	0	117	0	0	fmri_process_subject 28335
41	:	1763290250.064	   721.322	0	117	0	0	fmri_process_subject 28348
40	:	1763290192.406	   788.138	0	117	0	0	fmri_process_subject 28346
42	:	1763290253.751	   729.285	0	117	0	0	fmri_process_subject 28349
44	:	1763290313.387	   728.628	0	117	0	0	fmri_process_subject 28356
43	:	1763290277.257	   777.717	0	117	0	0	fmri_process_subject 28354
45	:	1763290366.014	   786.874	0	117	0	0	fmri_process_subject 28360
46	:	1763290805.704	   707.743	0	117	0	0	fmri_process_subject 28368
48	:	1763290823.852	   712.436	0	117	0	0	fmri_process_subject 28376
51	:	1763290883.480	   673.375	0	117	0	0	fmri_process_subject 28402
49	:	1763290825.309	   736.207	0	117	0	0	fmri_process_subject 28391
50	:	1763290830.185	   735.062	0	117	0	0	fmri_process_subject 28397
47	:	1763290820.477	   776.299	0	117	0	0	fmri_process_subject 28371
54	:	1763290940.363	   694.968	0	117	0	0	fmri_process_subject 28412
52	:	1763290903.758	   737.262	0	117	0	0	fmri_process_subject 28409
55	:	1763290971.417	   680.049	0	117	0	0	fmri_process_subject 28417
53	:	1763290924.260	   730.719	0	117	0	0	fmri_process_subject 28410
56	:	1763290980.573	   696.716	0	117	0	0	fmri_process_subject 28419
