Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
3	:	1763282308.891	   675.259	0	117	0	0	fmri_process_subject 14013
5	:	1763282308.894	   689.145	0	117	0	0	fmri_process_subject 14027
6	:	1763282308.896	   702.588	0	117	0	0	fmri_process_subject 14031
11	:	1763282308.906	   707.882	0	117	0	0	fmri_process_subject 14076
12	:	1763282308.908	   727.200	0	117	0	0	fmri_process_subject 14079
13	:	1763282308.910	   727.301	0	117	0	0	fmri_process_subject 14080
9	:	1763282308.903	   728.051	0	117	0	0	fmri_process_subject 14057
10	:	1763282308.904	   731.782	0	117	0	0	fmri_process_subject 14064
8	:	1763282308.901	   742.536	0	117	0	0	fmri_process_subject 14054
4	:	1763282308.893	   757.890	0	117	0	0	fmri_process_subject 14017
15	:	1763282308.915	   762.355	0	117	0	0	fmri_process_subject 14087
7	:	1763282308.899	   774.850	0	117	0	0	fmri_process_subject 14041
2	:	1763282308.888	   802.665	0	117	0	0	fmri_process_subject 14011
14	:	1763282308.912	   862.297	0	117	0	0	fmri_process_subject 14083
1	:	1763282308.887	   864.442	0	117	0	0	fmri_process_subject 14006
19	:	1763283016.795	   710.154	0	117	0	0	fmri_process_subject 14112
17	:	1763282998.067	   734.292	0	117	0	0	fmri_process_subject 14098
16	:	1763282984.199	   753.310	0	117	0	0	fmri_process_subject 14094
20	:	1763283036.137	   720.289	0	117	0	0	fmri_process_subject 14115
21	:	1763283036.219	   721.324	0	117	0	0	fmri_process_subject 14118
22	:	1763283036.958	   723.000	0	117	0	0	fmri_process_subject 14120
23	:	1763283040.697	   719.491	0	117	0	0	fmri_process_subject 14129
26	:	1763283071.285	   696.500	0	117	0	0	fmri_process_subject 14137
18	:	1763283011.488	   767.555	0	117	0	0	fmri_process_subject 14110
27	:	1763283083.752	   751.014	0	117	0	0	fmri_process_subject 14145
30	:	1763283173.334	   681.821	0	117	0	0	fmri_process_subject 14168
25	:	1763283066.788	   838.276	0	117	0	0	fmri_process_subject 14136
28	:	1763283111.559	   802.147	0	117	0	0	fmri_process_subject 14148
29	:	1763283171.222	   791.071	0	117	0	0	fmri_process_subject 14164
31	:	1763283727.005	   700.636	0	117	0	0	fmri_process_subject 14171
24	:	1763283051.458	  1380.103	0	117	0	0	fmri_process_subject 14132
32	:	1763283732.364	   703.209	0	117	0	0	fmri_process_subject 14172
34	:	1763283756.436	   681.833	0	117	0	0	fmri_process_subject 14181
33	:	1763283737.555	   718.990	0	117	0	0	fmri_process_subject 14180
36	:	1763283759.975	   729.652	0	117	0	0	fmri_process_subject 14187
37	:	1763283760.203	   749.003	0	117	0	0	fmri_process_subject 14205
35	:	1763283757.570	   760.215	0	117	0	0	fmri_process_subject 14185
39	:	1763283779.080	   773.983	0	117	0	0	fmri_process_subject 14211
41	:	1763283855.160	   721.819	0	117	0	0	fmri_process_subject 14226
43	:	1763283913.728	   714.365	0	117	0	0	fmri_process_subject 14241
44	:	1763283962.297	   678.289	0	117	0	0	fmri_process_subject 14245
42	:	1763283905.089	   738.861	0	117	0	0	fmri_process_subject 14236
38	:	1763283767.795	   960.323	0	117	0	0	fmri_process_subject 14206
58	:	1763284728.138	     3.558	0	117	0	0	fmri_process_subject 14336
59	:	1763284731.702	     3.124	0	117	0	0	fmri_process_subject 14338
60	:	1763284734.830	     3.118	0	117	0	0	fmri_process_subject 14343
61	:	1763284737.953	     3.142	0	117	0	0	fmri_process_subject 14344
62	:	1763284741.099	     3.089	0	117	0	0	fmri_process_subject 14346
63	:	1763284744.201	     3.046	0	117	0	0	fmri_process_subject 14357
64	:	1763284747.250	     3.036	0	117	0	0	fmri_process_subject 14371
65	:	1763284750.290	     3.077	0	117	0	0	fmri_process_subject 14378
66	:	1763284753.371	     3.128	0	117	0	0	fmri_process_subject 14382
67	:	1763284756.503	    13.572	0	117	0	0	fmri_process_subject 14387
68	:	1763284770.080	     3.443	0	117	0	0	fmri_process_subject 14390
69	:	1763284773.526	     3.338	0	117	0	0	fmri_process_subject 14403
70	:	1763284776.869	     3.503	0	117	0	0	fmri_process_subject 14404
71	:	1763284780.391	     3.102	0	117	0	0	fmri_process_subject 14417
72	:	1763284783.498	     3.058	0	117	0	0	fmri_process_subject 14421
73	:	1763284786.559	     3.076	0	117	0	0	fmri_process_subject 14424
74	:	1763284789.640	     3.100	0	117	0	0	fmri_process_subject 14430
75	:	1763284792.746	     3.095	0	117	0	0	fmri_process_subject 14451
76	:	1763284795.846	     3.138	0	117	0	0	fmri_process_subject 14452
77	:	1763284798.988	     3.183	0	117	0	0	fmri_process_subject 14460
78	:	1763284802.177	     3.103	0	117	0	0	fmri_process_subject 14462
79	:	1763284805.294	     3.415	0	117	0	0	fmri_process_subject 14467
80	:	1763284808.726	     3.481	0	117	0	0	fmri_process_subject 14468
81	:	1763284812.233	     3.570	0	117	0	0	fmri_process_subject 14475
82	:	1763284815.807	     3.500	0	117	0	0	fmri_process_subject 14479
83	:	1763284819.336	     3.502	0	117	0	0	fmri_process_subject 14480
84	:	1763284822.867	     3.481	0	117	0	0	fmri_process_subject 14481
85	:	1763284826.360	    13.474	0	117	0	0	fmri_process_subject 14491
45	:	1763284427.683	   708.033	0	117	0	0	fmri_process_subject 14249
46	:	1763284431.577	   710.274	0	117	0	0	fmri_process_subject 14251
47	:	1763284435.580	   710.989	0	117	0	0	fmri_process_subject 14255
50	:	1763284489.634	   679.757	0	117	0	0	fmri_process_subject 14294
40	:	1763283834.771	  1375.499	0	117	0	0	fmri_process_subject 14213
51	:	1763284509.210	   701.065	0	117	0	0	fmri_process_subject 14295
49	:	1763284456.568	   753.928	0	117	0	0	fmri_process_subject 14285
52	:	1763284517.789	   705.365	0	117	0	0	fmri_process_subject 14303
54	:	1763284576.994	   703.240	0	117	0	0	fmri_process_subject 14316
57	:	1763284643.958	   671.147	0	117	0	0	fmri_process_subject 14333
56	:	1763284640.628	   741.874	0	117	0	0	fmri_process_subject 14328
48	:	1763284438.275	   944.343	0	117	0	0	fmri_process_subject 14284
55	:	1763284628.096	   754.605	0	117	0	0	fmri_process_subject 14319
53	:	1763284553.068	   833.736	0	117	0	0	fmri_process_subject 14312
