Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
12	:	1763214467.269	  4950.415	0	913	0	0	process_subject 14063
4	:	1763214467.253	  4976.795	0	913	0	0	process_subject 14013
7	:	1763214467.258	  4994.873	0	913	0	0	process_subject 14031
11	:	1763214467.267	  5008.367	0	913	0	0	process_subject 14057
5	:	1763214467.254	  5036.232	0	913	0	0	process_subject 14017
8	:	1763214467.260	  5064.296	0	913	0	0	process_subject 14041
6	:	1763214467.256	  5105.190	0	913	0	0	process_subject 14027
9	:	1763214467.262	  5160.251	0	1047	0	0	process_subject 14044
10	:	1763214467.264	  5199.850	0	913	0	0	process_subject 14054
3	:	1763214467.250	  5223.285	0	1053	0	0	process_subject 14011
2	:	1763214467.248	  5228.443	0	913	0	0	process_subject 14008
1	:	1763214467.245	  5240.627	0	913	0	0	process_subject 14006
15	:	1763219462.134	  4947.432	0	913	0	0	process_subject 14079
17	:	1763219503.491	  4997.446	0	913	0	0	process_subject 14083
18	:	1763219531.560	  5003.167	0	913	0	0	process_subject 14087
13	:	1763219417.692	  5118.031	0	913	0	0	process_subject 14064
14	:	1763219444.050	  5116.944	0	913	0	0	process_subject 14076
21	:	1763219667.141	  4937.624	0	913	0	0	process_subject 14098
16	:	1763219475.639	  5129.976	0	913	0	0	process_subject 14080
19	:	1763219572.469	  5083.705	0	913	0	0	process_subject 14092
23	:	1763219695.695	  4991.118	0	913	0	0	process_subject 14101
24	:	1763219707.901	  5027.793	0	1047	0	0	process_subject 14110
22	:	1763219690.539	  5081.812	0	913	0	0	process_subject 14099
20	:	1763219627.543	  5206.792	0	913	0	0	process_subject 14094
25	:	1763224409.658	  4848.562	0	913	0	0	process_subject 14112
28	:	1763224535.738	  4918.764	0	913	0	0	process_subject 14120
31	:	1763224605.620	  4955.904	0	1047	0	0	process_subject 14132
26	:	1763224500.968	  5073.062	0	913	0	0	process_subject 14115
29	:	1763224561.010	  5062.178	0	913	0	0	process_subject 14125
27	:	1763224534.739	  5090.536	0	913	0	0	process_subject 14118
33	:	1763224686.849	  4957.354	0	913	0	0	process_subject 14136
34	:	1763224735.698	  4937.342	0	913	0	0	process_subject 14137
32	:	1763224656.188	  5079.259	0	913	0	0	process_subject 14134
30	:	1763224604.769	  5132.915	0	913	0	0	process_subject 14129
35	:	1763224772.357	  5030.416	0	913	0	0	process_subject 14145
36	:	1763224834.366	  4977.667	0	913	0	0	process_subject 14148
37	:	1763229258.263	  4930.128	0	913	0	0	process_subject 14164
40	:	1763229574.034	  4868.650	0	913	0	0	process_subject 14172
38	:	1763229454.521	  5053.208	0	913	0	0	process_subject 14168
41	:	1763229623.194	  4919.390	0	1047	0	0	process_subject 14174
39	:	1763229561.553	  5065.657	0	913	0	0	process_subject 14171
44	:	1763229673.043	  4964.769	0	913	0	0	process_subject 14185
43	:	1763229644.206	  5036.529	0	913	0	0	process_subject 14181
42	:	1763229625.307	  5108.698	0	913	0	0	process_subject 14180
45	:	1763229735.476	  5049.829	0	913	0	0	process_subject 14187
47	:	1763229802.802	  4985.044	0	913	0	0	process_subject 14205
46	:	1763229737.689	  5066.717	0	913	0	0	process_subject 14202
48	:	1763229812.038	  5120.230	0	913	0	0	process_subject 14206
49	:	1763234188.437	  5077.996	0	913	0	0	process_subject 14210
52	:	1763234542.595	  4981.960	0	913	0	0	process_subject 14226
51	:	1763234507.769	  5049.128	0	913	0	0	process_subject 14213
50	:	1763234442.734	  5121.325	0	913	0	0	process_subject 14211
53	:	1763234627.222	  5011.503	0	913	0	0	process_subject 14236
55	:	1763234680.741	  4969.374	0	913	0	0	process_subject 14245
54	:	1763234637.821	  5034.625	0	913	0	0	process_subject 14241
56	:	1763234734.034	  5014.420	0	913	0	0	process_subject 14249
57	:	1763234785.335	  4970.839	0	913	0	0	process_subject 14251
58	:	1763234787.851	  5006.325	0	913	0	0	process_subject 14255
59	:	1763234804.429	  5115.529	0	913	0	0	process_subject 14265
71	:	1763239920.014	     3.878	0	1013	0	0	process_subject 14336
60	:	1763234932.322	  5069.082	0	913	0	0	process_subject 14284
61	:	1763239266.507	  4934.278	0	913	0	0	process_subject 14285
63	:	1763239556.900	  4919.360	0	913	0	0	process_subject 14295
62	:	1763239524.584	  5041.976	0	913	0	0	process_subject 14294
66	:	1763239650.156	  4917.636	0	913	0	0	process_subject 14316
64	:	1763239564.080	  5102.509	0	913	0	0	process_subject 14303
65	:	1763239638.749	  5048.879	0	913	0	0	process_subject 14312
69	:	1763239756.205	  4934.736	0	913	0	0	process_subject 14328
68	:	1763239748.457	  4984.161	0	913	0	0	process_subject 14322
67	:	1763239672.474	  5069.240	0	913	0	0	process_subject 14319
70	:	1763239794.204	  5086.112	0	913	0	0	process_subject 14333
