Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
1	:	1763335841.753	  3687.058	0	989	0	0	process_subject 012
2	:	1763335841.755	  3820.683	0	989	0	0	process_subject 013
3	:	1763339528.828	  3516.417	0	989	0	0	process_subject 014
5	:	1763343045.295	    14.151	0	1218	0	0	process_subject 019
4	:	1763339662.443	  3638.187	0	989	0	0	process_subject 018
6	:	1763343059.452	  3731.756	0	989	0	0	process_subject 020
7	:	1763343300.634	  3529.190	0	989	0	0	process_subject 021
8	:	1763346791.234	  3517.158	0	989	0	0	process_subject 022
9	:	1763346829.829	  3573.269	0	989	0	0	process_subject 023
11	:	1763350403.102	  3454.664	0	989	0	0	process_subject 026
10	:	1763350308.432	  3846.254	0	989	0	0	process_subject 024
12	:	1763353857.811	  3570.040	0	989	0	0	process_subject 027
13	:	1763354154.690	  3606.475	0	989	0	0	process_subject 029
14	:	1763357427.924	  3534.910	0	989	0	0	process_subject 030
15	:	1763357761.170	  3671.337	0	989	0	0	process_subject 032
16	:	1763360962.886	  3739.133	0	989	0	0	process_subject 033
17	:	1763361432.518	  3753.271	0	989	0	0	process_subject 034
18	:	1763364702.037	  3619.442	0	989	0	0	process_subject 035
19	:	1763365185.819	  3690.244	0	989	0	0	process_subject 037
21	:	1763368876.077	    14.913	0	1218	0	0	process_subject 040
20	:	1763368321.618	  3930.697	0	989	0	0	process_subject 039
22	:	1763368890.997	  4065.222	0	989	0	0	process_subject 042
24	:	1763372956.265	   628.233	0	1223	0	0	process_subject 044
23	:	1763372252.371	  1384.560	0	1225	0	0	process_subject 043
25	:	1763373584.505	    60.616	0	1221	0	0	process_subject 048
26	:	1763373636.936	    43.266	0	1221	0	0	process_subject 049
27	:	1763373645.127	    42.582	0	1221	0	0	process_subject 050
28	:	1763373680.209	    53.133	0	1221	0	0	process_subject 061
29	:	1763373697.658	    84.197	0	1223	0	0	process_subject 064
30	:	1763373733.349	    58.834	0	1223	0	0	process_subject 065
32	:	1763373792.186	    52.996	0	1223	0	0	process_subject 067
31	:	1763373781.861	    89.224	0	1223	0	0	process_subject 066
33	:	1763373845.188	    69.509	0	2443	0	0	process_subject 070
34	:	1763373871.090	    53.202	0	1221	0	0	process_subject 074
35	:	1763373914.703	    47.468	0	1221	0	0	process_subject 078
36	:	1763373924.298	    43.984	0	1221	0	0	process_subject 083
37	:	1763373962.176	    50.463	0	1221	0	0	process_subject 084
38	:	1763373977.945	    46.656	0	1221	0	0	process_subject 085
39	:	1763374012.644	    59.290	0	1221	0	0	process_subject 086
40	:	1763374024.607	    51.380	0	1223	0	0	process_subject 087
